created_at,user.id,extended_tweet.full_text,text,place.name,LATITUDE,LONGITUDE,coordinates.coordinates,place.bounding_box.coordinates
Thu Jul 26 13:48:46 +0000 2018,402779974,Toniiiiiiight! Join us for a lovely evening of free comedy! #boroughpub #theroebuckse1 #comedynight #boroughofcomedy @ The Roebuck https://t.co/iZlMJjKhyd,Toniiiiiiight! Join us for a lovely evening of free comedy! #boroughpub #theroebuckse1 #comedynight… https://t.co/rfGcyUsy3I,Camberwell,51.4981067,-0.0906061,"[-0.0906061,51.4981067]","[[[-0.111476,51.419425],[-0.111476,51.509947],[-0.029731,51.509947],[-0.029731,51.419425]]]"
Thu Jul 26 13:50:28 +0000 2018,8.40E+17,"Live Music | Tue- Fri | Boisdale of Bishopsgate! 
Tonight 7.30-9.30
Keri Arrindell (vocals) + Luke Bullard (guitar)
Keri, singer songwriter and the girls finalist of X Factor. She is… https://t.co/hYeUyO4tSu","Live Music | Tue- Fri | Boisdale of Bishopsgate! 
Tonight 7.30-9.30
Keri Arrindell (vocals) + Luke Bullard (guitar)… https://t.co/H0BuLpfob9",City of London,51.51806723,-0.07926809,"[-0.07926809,51.51806723]","[[[-0.112442,51.5068],[-0.112442,51.522161],[-0.073379,51.522161],[-0.073379,51.5068]]]"
Thu Jul 26 13:51:54 +0000 2018,57995241,Todays class - 5 day intense 5 hair and makeup looks! only £1200 ..... book your place now! - learn the complete art of hair n makeup in 5 days! Half price offer -book… https://t.co/U6E6Q3pVwL,Todays class - 5 day intense 5 hair and makeup looks! only £1200 ..... book your place now! - learn the complete ar… https://t.co/W4MR1rfOzj,Slough,51.51,-0.5931,"[-0.5931,51.51]","[[[-0.660061,51.490484],[-0.660061,51.538905],[-0.525138,51.538905],[-0.525138,51.490484]]]"
Thu Jul 26 13:52:28 +0000 2018,264774492,"For long, fluffy and defined lashes..✨
•
Hybrid Luxe
• 
#LuxeLashesLondon #SemiPermanentLashes #LashExtensions #IndividualLashes #Lashes #LashLife #LashAddict #LashesOnFleek #LashDrama… https://t.co/0ej58DXmei","For long, fluffy and defined lashes..✨
•
Hybrid Luxe
• 
#LuxeLashesLondon #SemiPermanentLashes #LashExtensions… https://t.co/gjWQowiAF7",Brent,51.5524694,-0.2950376,"[-0.2950376,51.5524694]","[[[-0.336055,51.527592],[-0.336055,51.602799],[-0.190226,51.602799],[-0.190226,51.527592]]]"
Thu Jul 26 13:52:42 +0000 2018,39756088,,"Protective equipment must be worn. @ London, United Kingdom https://t.co/QPcP3nyZho",London,51.50711486,-0.12731805,"[-0.12731805,51.50711486]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 14:07:38 +0000 2018,2558472627,I don’t have my Harvey anymore he crossed over to the rainbow 🌈 bridge just over a month ago now ... but it sure is nice to receive hugs from another Harvey ❤️ @ Princes Risborough https://t.co/i9jtYddEaU,I don’t have my Harvey anymore he crossed over to the rainbow 🌈 bridge just over a month ago now ... but it sure is… https://t.co/UwonSLPM6G,South East,51.7167,-0.816667,"[-0.816667,51.7167]","[[[-1.957296,50.574606],[-1.957296,52.196285],[1.451788,52.196285],[1.451788,50.574606]]]"
Thu Jul 26 14:07:42 +0000 2018,302577041,,"Looking for a glass partition for your living room, look no more https://t.co/i2Z7O1lHIe @ Doors4UK https://t.co/nD6kq9ttur",Watford,51.6445563,-0.4248118,"[-0.4248118,51.6445563]","[[[-0.444459,51.632236],[-0.444459,51.703921],[-0.340092,51.703921],[-0.340092,51.632236]]]"
Thu Jul 26 14:08:17 +0000 2018,221815668,Late lunch at the Hope! First beer of their latest festival and this is very good!! - Drinking a Nelson Sauvin Milkshake IPA by @tinyrebelbrewco at @pubcathope  — https://t.co/15r9O93CGl,Late lunch at the Hope! First beer of their latest festival and this is very good!! - Drinking a Nelson Sauvin Milk… https://t.co/dOHUBsrlA3,Sutton,51.3672,-0.16725,"[-0.16725,51.3672]","[[[-0.245869,51.330352],[-0.245869,51.393443],[-0.117306,51.393443],[-0.117306,51.330352]]]"
Thu Jul 26 14:09:37 +0000 2018,271198118,"We came to visit the Queen, but she weren't at home! Oh well, maybe next time 😉 #beingtourists #sightseeing #bakedunderthesun #ukig #hkig @ Buckingham Palace https://t.co/6mN2kaOxyN","We came to visit the Queen, but she weren't at home! Oh well, maybe next time 😉 #beingtourists #sightseeing… https://t.co/ZkFekJbaUg",London,51.501,-0.142,"[-0.142,51.501]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 14:10:21 +0000 2018,9.73E+17,"Thanks to the printer #villageraw issue 2 is already going in the post to subscribers. Are you watching the postbox waiting for your copy? - if not, follow this link… https://t.co/UXkxU6IJvx",Thanks to the printer #villageraw issue 2 is already going in the post to subscribers. Are you watching the postbox… https://t.co/lslMi7mqtK,Tottenham,51.57861876,-0.12255538,"[-0.12255538,51.57861876]","[[[-0.170246,51.564585],[-0.170246,51.611218],[-0.034078,51.611218],[-0.034078,51.564585]]]"
